tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-186.4398811432916,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-186.28788639662682,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-186.13489168452338,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.98289693785858,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.83090219119373,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.67790747909032,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.52591273242552,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.37291802032206,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.22092327365726,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-185.06892852699247,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.91593381488903,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.76393906822426,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.6109443561208,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.458949609456,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.30695486279117,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.15396015068777,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-184.0019654040229,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.8489706919196,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.69697594525468,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.54498119858985,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.39198648648647,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.2399917398217,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-183.08699702771824,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.93500228105339,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.78300753438862,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.63001282228518,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.4780180756204,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.3250233635169,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.17302861685212,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-182.0210338701873,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-181.86803915808392,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-181.71604441141915,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-181.56304969931568,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
-181.41105495265083,12.25,,,,,,,,,,,,,cheal-a10,,,,,,,
