tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon
-208.09684288,8.5,,,,,47.8987,,,,,,,,cheal-a3x,,,,,,,584.0706,-39.3869652,174.3047673
-207.94450384,8.5,,,,,48.2253,,,,,,,,cheal-a3x,,,,,,,584.3919,-39.3869652,174.3047673
-207.7921648,8.5,,,,,48.5519,,,,,,,,cheal-a3x,,,,,,,584.7131,-39.3869652,174.3047673
-207.63982576,8.5,,,,,48.4085,,,,,,,,cheal-a3x,,,,,,,585.1194,-39.3869652,174.3047673
-207.48748672,8.5,,,,,47.6229,,,,,,,,cheal-a3x,,,,,,,585.6416,-39.3869652,174.3047673
-207.33514768,8.5,,,,,46.8373,,,,,,,,cheal-a3x,,,,,,,586.1638,-39.3869652,174.3047673
-207.18280864,8.5,,,,,46.3327,,,,,,,,cheal-a3x,,,,,,,586.5631,-39.3869652,174.3047673
-207.0304696,8.5,,,,,47.5297,,,,,,,,cheal-a3x,,,,,,,586.2178,-39.3869652,174.3047673
-206.87813056,8.5,,,,,48.7267,,,,,,,,cheal-a3x,,,,,,,585.8725,-39.3869652,174.3047673
-206.72579152,8.5,,,,,49.9237,,,,,,,,cheal-a3x,,,,,,,585.5272,-39.3869652,174.3047673
-206.57345248,8.5,,,,,49.6948,,,,,,,,cheal-a3x,,,,,,,585.9906,-39.3869652,174.3047673
-206.42111344,8.5,,,,,49.2356,,,,,,,,cheal-a3x,,,,,,,586.5847,-39.3869652,174.3047673
-206.2687744,8.5,,,,,48.7763,,,,,,,,cheal-a3x,,,,,,,587.1788,-39.3869652,174.3047673
-206.11643536,8.5,,,,,48.481,,,,,,,,cheal-a3x,,,,,,,587.2703,-39.3869652,174.3047673
-205.96409632,8.5,,,,,48.3043,,,,,,,,cheal-a3x,,,,,,,586.9981,-39.3869652,174.3047673
-205.81175728,8.5,,,,,48.1276,,,,,,,,cheal-a3x,,,,,,,586.7259,-39.3869652,174.3047673
-205.65941824,8.5,,,,,48.5569,,,,,,,,cheal-a3x,,,,,,,586.7369,-39.3869652,174.3047673
-205.5070792,8.5,,,,,50.4055,,,,,,,,cheal-a3x,,,,,,,587.4114,-39.3869652,174.3047673
-205.35474016,8.5,,,,,52.254,,,,,,,,cheal-a3x,,,,,,,588.0858,-39.3869652,174.3047673
-205.20240112,8.5,,,,,54.0417,,,,,,,,cheal-a3x,,,,,,,588.7173,-39.3869652,174.3047673
-205.05006208,8.5,,,,,52.5749,,,,,,,,cheal-a3x,,,,,,,587.0551,-39.3869652,174.3047673
-204.89772304,8.5,,,,,51.1081,,,,,,,,cheal-a3x,,,,,,,585.3929,-39.3869652,174.3047673
-204.745384,8.5,,,,,49.6413,,,,,,,,cheal-a3x,,,,,,,583.7307,-39.3869652,174.3047673
-204.59304496,8.5,,,,,49.8737,,,,,,,,cheal-a3x,,,,,,,583.0861,-39.3869652,174.3047673
-204.44070592,8.5,,,,,50.7107,,,,,,,,cheal-a3x,,,,,,,582.8036,-39.3869652,174.3047673
-204.28836688,8.5,,,,,51.5477,,,,,,,,cheal-a3x,,,,,,,582.5212,-39.3869652,174.3047673
-204.13602784,8.5,,,,,51.3039,,,,,,,,cheal-a3x,,,,,,,583.054,-39.3869652,174.3047673
-203.9836888,8.5,,,,,49.7743,,,,,,,,cheal-a3x,,,,,,,584.5568,-39.3869652,174.3047673
-203.83134976,8.5,,,,,48.2446,,,,,,,,cheal-a3x,,,,,,,586.0595,-39.3869652,174.3047673
-203.67901072,8.5,,,,,47.1182,,,,,,,,cheal-a3x,,,,,,,587.2175,-39.3869652,174.3047673
-203.52667168,8.5,,,,,47.8815,,,,,,,,cheal-a3x,,,,,,,586.7601,-39.3869652,174.3047673
-203.37433264,8.5,,,,,48.6449,,,,,,,,cheal-a3x,,,,,,,586.3027,-39.3869652,174.3047673
-203.2219936,8.5,,,,,49.4082,,,,,,,,cheal-a3x,,,,,,,585.8453,-39.3869652,174.3047673
-203.06965456,8.5,,,,,48.6314,,,,,,,,cheal-a3x,,,,,,,585.9299,-39.3869652,174.3047673
-202.91731552,8.5,,,,,47.674,,,,,,,,cheal-a3x,,,,,,,586.0781,-39.3869652,174.3047673
-202.76497648,8.5,,,,,46.7166,,,,,,,,cheal-a3x,,,,,,,586.2262,-39.3869652,174.3047673
-202.61263744,8.5,,,,,46.9948,,,,,,,,cheal-a3x,,,,,,,586.1169,-39.3869652,174.3047673
-202.46029840000003,8.5,,,,,48.0492,,,,,,,,cheal-a3x,,,,,,,585.846,-39.3869652,174.3047673
-202.30795936,8.5,,,,,49.1037,,,,,,,,cheal-a3x,,,,,,,585.575,-39.3869652,174.3047673
-202.15562032,8.5,,,,,49.4731,,,,,,,,cheal-a3x,,,,,,,585.9471,-39.3869652,174.3047673
-202.00328128,8.5,,,,,48.4725,,,,,,,,cheal-a3x,,,,,,,587.6054,-39.3869652,174.3047673
-201.85094224,8.5,,,,,47.4719,,,,,,,,cheal-a3x,,,,,,,589.2637,-39.3869652,174.3047673
-201.6986032,8.5,,,,,46.5559,,,,,,,,cheal-a3x,,,,,,,590.7711,-39.3869652,174.3047673
-201.54626416,8.5,,,,,47.1669,,,,,,,,cheal-a3x,,,,,,,589.5521,-39.3869652,174.3047673
-201.39392512,8.5,,,,,47.778,,,,,,,,cheal-a3x,,,,,,,588.3331,-39.3869652,174.3047673
-201.24158608,8.5,,,,,48.389,,,,,,,,cheal-a3x,,,,,,,587.1141,-39.3869652,174.3047673
-201.08924704,8.5,,,,,47.9812,,,,,,,,cheal-a3x,,,,,,,586.8715,-39.3869652,174.3047673
-200.93690800000002,8.5,,,,,47.272,,,,,,,,cheal-a3x,,,,,,,586.9177,-39.3869652,174.3047673
-200.78456896,8.5,,,,,46.5628,,,,,,,,cheal-a3x,,,,,,,586.964,-39.3869652,174.3047673
-200.63222992,8.5,,,,,46.6083,,,,,,,,cheal-a3x,,,,,,,587.1191,-39.3869652,174.3047673
-200.47989088,8.5,,,,,47.4367,,,,,,,,cheal-a3x,,,,,,,587.3871,-39.3869652,174.3047673
-200.32755184,8.5,,,,,48.2651,,,,,,,,cheal-a3x,,,,,,,587.6552,-39.3869652,174.3047673
-200.1752128,8.5,,,,,49.4961,,,,,,,,cheal-a3x,,,,,,,587.7893,-39.3869652,174.3047673
-200.02287376,8.5,,,,,52.242,,,,,,,,cheal-a3x,,,,,,,587.42,-39.3869652,174.3047673
-199.87053472,8.5,,,,,54.9879,,,,,,,,cheal-a3x,,,,,,,587.0507,-39.3869652,174.3047673
-199.71819568,8.5,,,,,57.7338,,,,,,,,cheal-a3x,,,,,,,586.6813,-39.3869652,174.3047673
-199.56585664,8.5,,,,,57.1583,,,,,,,,cheal-a3x,,,,,,,585.8097,-39.3869652,174.3047673
-199.4135176,8.5,,,,,56.3295,,,,,,,,cheal-a3x,,,,,,,584.8998,-39.3869652,174.3047673
-199.26117856,8.5,,,,,55.5007,,,,,,,,cheal-a3x,,,,,,,583.9899,-39.3869652,174.3047673
-199.10883952,8.5,,,,,54.2055,,,,,,,,cheal-a3x,,,,,,,583.8214,-39.3869652,174.3047673
-198.95650048,8.5,,,,,52.6572,,,,,,,,cheal-a3x,,,,,,,584.055,-39.3869652,174.3047673
-198.80416144,8.5,,,,,51.109,,,,,,,,cheal-a3x,,,,,,,584.2886,-39.3869652,174.3047673
-198.65182240000001,8.5,,,,,49.6894,,,,,,,,cheal-a3x,,,,,,,584.3151,-39.3869652,174.3047673
-198.49948336,8.5,,,,,48.4911,,,,,,,,cheal-a3x,,,,,,,583.9851,-39.3869652,174.3047673
-198.34714432,8.5,,,,,47.2927,,,,,,,,cheal-a3x,,,,,,,583.6551,-39.3869652,174.3047673
-198.19480528,8.5,,,,,46.3081,,,,,,,,cheal-a3x,,,,,,,583.364,-39.3869652,174.3047673
-198.04246624,8.5,,,,,47.5767,,,,,,,,cheal-a3x,,,,,,,583.4833,-39.3869652,174.3047673
-197.8901272,8.5,,,,,48.8452,,,,,,,,cheal-a3x,,,,,,,583.6026,-39.3869652,174.3047673
-197.73778816,8.5,,,,,50.1138,,,,,,,,cheal-a3x,,,,,,,583.7219,-39.3869652,174.3047673
-197.58544912,8.5,,,,,49.5484,,,,,,,,cheal-a3x,,,,,,,584.4431,-39.3869652,174.3047673
-197.43311008,8.5,,,,,48.5409,,,,,,,,cheal-a3x,,,,,,,585.3094,-39.3869652,174.3047673
-197.28077104,8.5,,,,,47.5334,,,,,,,,cheal-a3x,,,,,,,586.1757,-39.3869652,174.3047673
-197.128432,8.5,,,,,47.4408,,,,,,,,cheal-a3x,,,,,,,586.0746,-39.3869652,174.3047673
-196.97609296,8.5,,,,,48.1763,,,,,,,,cheal-a3x,,,,,,,585.0979,-39.3869652,174.3047673
-196.82375392,8.5,,,,,48.9117,,,,,,,,cheal-a3x,,,,,,,584.1213,-39.3869652,174.3047673
-196.67141488,8.5,,,,,49.4442,,,,,,,,cheal-a3x,,,,,,,583.3784,-39.3869652,174.3047673
-196.51907584,8.5,,,,,49.3481,,,,,,,,cheal-a3x,,,,,,,583.3592,-39.3869652,174.3047673
-196.3667368,8.5,,,,,49.252,,,,,,,,cheal-a3x,,,,,,,583.3401,-39.3869652,174.3047673
-196.21439776,8.5,,,,,49.1559,,,,,,,,cheal-a3x,,,,,,,583.321,-39.3869652,174.3047673
-196.06205872,8.5,,,,,50.7428,,,,,,,,cheal-a3x,,,,,,,583.4064,-39.3869652,174.3047673
-195.90971968,8.5,,,,,52.3939,,,,,,,,cheal-a3x,,,,,,,583.4958,-39.3869652,174.3047673
-195.75738064,8.5,,,,,54.045,,,,,,,,cheal-a3x,,,,,,,583.5853,-39.3869652,174.3047673
-195.6050416,8.5,,,,,53.4383,,,,,,,,cheal-a3x,,,,,,,583.7040000000002,-39.3869652,174.3047673
-195.45270256,8.5,,,,,51.7809,,,,,,,,cheal-a3x,,,,,,,583.8362,-39.3869652,174.3047673
-195.30036352,8.5,,,,,50.1235,,,,,,,,cheal-a3x,,,,,,,583.9684,-39.3869652,174.3047673
