tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon
-221.0084,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,847.5455,-39.386834,174.304119
-220.856,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,849.8116,-39.386834,174.304119
-220.7036,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,852.0776,-39.386834,174.304119
-220.5512,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,853.4742,-39.386834,174.304119
-220.3988,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,853.0252,-39.386834,174.304119
-220.2464,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,852.5762,-39.386834,174.304119
-220.094,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,852.1594,-39.386834,174.304119
-219.9416,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,852.5301,-39.386834,174.304119
-219.7892,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,852.9008,-39.386834,174.304119
-219.6368,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,853.2715,-39.386834,174.304119
-219.4844,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,853.8461,-39.386834,174.304119
-219.332,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,854.4855,-39.386834,174.304119
-219.1796,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,855.1249,-39.386834,174.304119
-219.0272,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,853.8679,-39.386834,174.304119
-218.8748,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,850.5375,-39.386834,174.304119
-218.7224,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,847.207,-39.386834,174.304119
-218.57,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,844.8896,-39.386834,174.304119
-218.4176,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,846.7057,-39.386834,174.304119
-218.2652,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,848.5217,-39.386834,174.304119
-218.1128,12.25,,,,,,,,,,,,,cheal-a6,,,,,,,850.3378,-39.386834,174.304119
