tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-169.21280000000004,12.25,,,,,,,,,,,,,cheal-b1,,,,,,28.2522,539.8798
-169.21280000000004,,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,,
-169.06040000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.7496
-168.90800000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.6195
-168.75560000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.8581
-168.60320000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.9935
-168.45080000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.129
-168.29840000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.2327
-168.14600000000004,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.345
-167.9936,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.4573
-167.8412,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,537.5696
-167.6888,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,535.6591
-167.5364,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,533.7402
-167.384,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,531.8214
-167.2316,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,531.3638
-167.0792,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,532.7009
-166.9268,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,534.038
-166.7744,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,535.3475
-166.622,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,536.5209
-166.4696,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,537.6944
-166.3172,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,538.8679
-166.1648,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.7972
-166.0124,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.6954
-165.86,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.5936
-165.7076,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.707
-165.5552,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.3106
-165.4028,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.9142
-165.2504,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.2906
-165.09799999999996,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.1958
-164.9456,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,538.1011
-164.7932,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,537.0527
-164.6408,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,536.9997
-164.4884,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,536.9467
-164.33599999999996,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,536.8936
-164.1836,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,538.1534
-164.0312,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.8193
-163.8788,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.4852
-163.7264,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.3595
-163.57399999999996,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.3862
-163.4216,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.413
-163.2692,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.1441
-163.1168,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.7079
-162.9644,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.2718
-162.812,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,537.8357
-162.6596,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.1674
-162.5072,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.8211
-162.3548,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.4749
-162.2024,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,546.0458
-162.05,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.4473
-161.8976,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.8487
-161.7452,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.021
-161.5928,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,542.7852
-161.4404,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.5493
-161.28799999999995,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.3975
-161.1356,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.2296
-160.9832,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.0615
-160.8308,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.8935
-160.6784,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.1851
-160.526,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.5931
-160.3736,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.0011
-160.2212,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,541.8281
-160.0688,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.0466
-159.9164,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.2651
-159.764,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.0796
-159.6116,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.5876
-159.4592,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.0956
-159.3068,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.6037
-159.1544,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.3715
-159.002,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.1981
-158.8496,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,546.0248
-158.6972,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.8366
-158.5448,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.1588
-158.3924,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.4809
-158.24,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.1376
-158.0876,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,540.7695
-157.9352,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,538.4014
-157.7828,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,536.6597
-157.6304,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,539.8412
-157.47799999999995,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.0228
-157.3256,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,546.2044
-157.1732,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,546.4157
-157.0208,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,546.0273
-156.8684,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.639
-156.716,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,545.2045
-156.5636,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.7322
-156.4112,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,544.26
-156.2588,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.86
-156.1064,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.6547
-155.954,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.4494
-155.8016,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2522,543.2441
-155.6492,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2634,544.2265
-155.4968,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2748,545.2214
-155.3444,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.2861,546.2164
-155.192,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.295,545.7216
-155.0396,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.3029,544.6144
-154.8872,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.3109,543.5071
-154.7348,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.3327,543.6661
-154.5824,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.3732,545.5185
-154.43,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.4137,547.3708
-154.2776,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.4484,549.1161
-154.1252,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b1,,,,,,28.4495,550.2399
