tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon
-269.192,,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-269.039,,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.887,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.73400000000004,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.582,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.43,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.277,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-268.125,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.972,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.82,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.668,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.515,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.363,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.21,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-267.058,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.906,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.753,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.601,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.448,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.296,17.5,,,,,25.085,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-266.144,17.5,,,,,28.922,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.991,17.5,,,,,25.151,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.839,17.5,,,,,22.003,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.686,17.5,,,,,33.788000000000004,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.534,17.5,,,,,,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.382,17.5,,,,,27.684,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.22900000000004,17.5,,,,,29.66800000000001,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
-265.077,17.5,,,,,30.211,,,,,,,,cheal-c3,,,,,,,,-39.367302,174.281017
