tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-219.05613983050847,,,,,,,,,,,,,,cheal-c4,,,,,,,
-219.05613983050847,,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.9043008474576,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.75146292372884,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.599623940678,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.44678601694915,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.29494703389832,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-218.14310805084747,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.9902701271186,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.8384311440678,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.68559322033897,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.5337542372881,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.38191525423733,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.2290773305085,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-217.07723834745758,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.92440042372883,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.77256144067798,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.62072245762715,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.4678845338983,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.31604555084743,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.1632076271186,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-216.0113686440678,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.85952966101692,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.70669173728814,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.5548527542373,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.40201483050842,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.25017584745763,12.25,,,,,35.001999999999995,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-215.0983368644068,12.25,,,,,37.58,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.945498940678,12.25,,,,,37.168,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.7936599576271,12.25,,,,,38.922,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.6408220338983,12.25,,,,,32.748000000000005,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.48898305084748,12.25,,,,,34.479,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.3371440677966,12.25,,,,,35.348,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.1843061440678,12.25,,,,,36.752,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-214.0324671610169,12.25,,,,,35.479,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.87962923728813,12.25,,,,,34.27,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.72779025423728,12.25,,,,,34.793,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.57595127118645,12.25,,,,,36.622,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.423,12.25,,,,,35.054,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.271,12.25,,,,,39.759,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-213.118,12.25,,,,,35.022,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.96599999999998,12.25,,,,,38.485,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.81400000000002,12.25,,,,,37.178,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.66099999999997,12.25,,,,,40.771,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.509,12.25,,,,,42.01300000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.356,12.25,,,,,41.948,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.204,12.25,,,,,40.706,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-212.052,12.25,,,,,37.047,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.899,12.25,,,,,36.59,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.747,12.25,,,,,39.465,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.59400000000002,12.25,,,,,43.254,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.442,12.25,,,,,42.993,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.29,12.25,,,,,41.425,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-211.13700000000003,12.25,,,,,38.91,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.985,12.25,,,,,38.387,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.832,12.25,,,,,38.909,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.68,12.25,,,,,37.08,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.528,12.25,,,,,36.296,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.375,12.25,,,,,33.421,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.22299999999998,12.25,,,,,33.421,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-210.07,12.25,,,,,34.466,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.918,12.25,,,,,34.989000000000004,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.766,12.25,,,,,36.59,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.613,12.25,,,,,36.067,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.46099999999998,12.25,,,,,39.889,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.308,12.25,,,,,42.503,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.15599999999998,12.25,,,,,45.11600000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-209.004,12.25,,,,,41.229,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.851,12.25,,,,,41.228,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.699,12.25,,,,,38.615,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.546,12.25,,,,,36.786,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.394,12.25,,,,,34.172,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.242,12.25,,,,,35.446,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-208.08900000000003,12.25,,,,,35.25,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-207.937,12.25,,,,,33.159,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-207.78400000000002,12.25,,,,,30.873,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-207.632,12.25,,,,,33.748000000000005,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
