tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon
-260.45,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-260.35,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-260.25,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-260.15,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-260.05,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.95,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.85,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.75,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.65,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.55,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.45,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.35,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.25,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.15,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-259.05,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.95,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.85,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.75,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.65,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.55,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.45,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.35,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.25,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.15,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-258.05,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.95,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.85,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.75,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.65,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.55,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.45,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.35,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.25,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.15,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-257.05,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.95,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.85,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.75,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.65,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.55,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.45,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.35,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.25,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.15,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-256.05,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.95,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.85,17.5,,,,,,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.75,17.5,,,,,20.661,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.65,17.5,,,,,20.434,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.55,17.5,,,,,20.072,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.45,17.5,,,,,19.636,,,,,,,,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.35,,,,,,,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.35,17.5,,,,,19.725,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.25,17.5,,,,,20.133,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.15,17.5,,,,,21.176,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-255.05,17.5,,,,,22.004,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.95,17.5,,,,,22.854,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.85,17.5,,,,,22.936,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.75,17.5,,,,,23.22,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.65,17.5,,,,,23.846,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.55,17.5,,,,,25.335,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
-254.45,17.5,,,,,27.619,,,,,,,Egmont Volcanics,cheal-g1,,,,,,,,-39.397306,174.28363000000002
