tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-260.45,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-260.35,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-260.25,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-260.15,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-260.05,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.95,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.85,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.75,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.65,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.55,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.45,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.35,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.25,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.15,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-259.05,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.95,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.85,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.75,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.65,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.55,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.45,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.35,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.25,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.15,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-258.05,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-257.95,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-257.85,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-257.75,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-257.65,17.5,,,,,,,,,,,,,cheal-g2,,,,,,,
-257.55,17.5,,,,,24.62,,,,,,,,cheal-g2,,,,,,,
-257.45,17.5,,,,,25.796,,,,,,,,cheal-g2,,,,,,,
-257.35,17.5,,,,,26.278,,,,,,,,cheal-g2,,,,,,,
-257.25,17.5,,,,,26.182,,,,,,,,cheal-g2,,,,,,,
-257.15,17.5,,,,,25.228,,,,,,,,cheal-g2,,,,,,,
-257.05,17.5,,,,,24.088,,,,,,,,cheal-g2,,,,,,,
-256.95,17.5,,,,,22.523000000000003,,,,,,,,cheal-g2,,,,,,,
-256.85,17.5,,,,,21.91,,,,,,,,cheal-g2,,,,,,,
-256.75,17.5,,,,,21.838,,,,,,,,cheal-g2,,,,,,,
-256.65,17.5,,,,,22.171,,,,,,,,cheal-g2,,,,,,,
-256.55,17.5,,,,,22.54,,,,,,,,cheal-g2,,,,,,,
-256.45,17.5,,,,,22.81900000000001,,,,,,,,cheal-g2,,,,,,,
-256.35,17.5,,,,,23.058000000000003,,,,,,,,cheal-g2,,,,,,,
-256.25,17.5,,,,,22.496,,,,,,,,cheal-g2,,,,,,,
-256.15,17.5,,,,,22.616,,,,,,,,cheal-g2,,,,,,,
-256.05,17.5,,,,,23.256,,,,,,,,cheal-g2,,,,,,,
-255.95,17.5,,,,,24.782,,,,,,,,cheal-g2,,,,,,,
-255.85,17.5,,,,,26.187,,,,,,,,cheal-g2,,,,,,,
-255.75,17.5,,,,,27.975,,,,,,,,cheal-g2,,,,,,,
-255.65,17.5,,,,,29.662,,,,,,,,cheal-g2,,,,,,,
-255.55,17.5,,,,,30.719,,,,,,,,cheal-g2,,,,,,,
-255.45,17.5,,,,,31.717,,,,,,,,cheal-g2,,,,,,,
-255.35,17.5,,,,,32.865,,,,,,,,cheal-g2,,,,,,,
-255.25,17.5,,,,,33.958,,,,,,,,cheal-g2,,,,,,,
-255.15,17.5,,,,,34.126,,,,,,,,cheal-g2,,,,,,,
-255.05,17.5,,,,,33.658,,,,,,,,cheal-g2,,,,,,,
-254.95,17.5,,,,,33.331,,,,,,,,cheal-g2,,,,,,,
-254.85,17.5,,,,,32.711,,,,,,,,cheal-g2,,,,,,,
-254.75,17.5,,,,,32.911,,,,,,,,cheal-g2,,,,,,,
-254.65,17.5,,,,,33.888000000000005,,,,,,,,cheal-g2,,,,,,,
-254.55,17.5,,,,,35.842,,,,,,,,cheal-g2,,,,,,,
-254.45,17.5,,,,,37.573,,,,,,,,cheal-g2,,,,,,,
-254.35,17.5,,,,,39.016,,,,,,,,cheal-g2,,,,,,,
-254.25,17.5,,,,,39.749,,,,,,,,cheal-g2,,,,,,,
-254.15,17.5,,,,,40.821,,,,,,,,cheal-g2,,,,,,,
-254.05,17.5,,,,,42.291,,,,,,,,cheal-g2,,,,,,,
